INFO  - 2014-07-22 15:23:27.311; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.312; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.313; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-07-22 15:23:27.313; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.314; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-07-22 15:23:27.315; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-07-22 15:23:27.315; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-07-22 15:23:27.315; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-07-22 15:23:27.315; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-07-22 15:23:27.316; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-07-22 15:23:27.316; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-07-22 15:23:27.316; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-07-22 15:23:27.316; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-07-22 15:23:27.317; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-07-22 15:23:27.318; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-07-22 15:23:27.319; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-07-22 15:23:27.326; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-07-22 15:23:27.326; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.326; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.326; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.326; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.326; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.327; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.327; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.327; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.327; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.327; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-07-22 15:23:27.335; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-07-22 15:23:27.337; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-07-22 15:23:27.337; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-07-22 15:23:27.346; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-07-22 15:23:27.346; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-07-22 15:23:27.351; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
